,id,name,games,goals_scored,goals_conceded,xG_for,xG_against,shots_for,shots_against,shots_on_target_for,shots_on_target_against,yellow_cards,red_cards,fouls
0,674199,Barcelona W,25,4.56,0.32,3.1195999999999997,0.6916000000000001,21.84,4.68,12.44,2.44,0.44,-0.04,6.4
0,688579,Real Madrid W,25,2.56,1.12,2.0528,1.1643999999999999,14.92,7.6,7.68,4.08,0.72,-0.04,7.52
0,674219,Atletico Madrid W,25,1.76,0.72,1.6916000000000002,1.2451999999999999,12.8,8.88,6.08,4.4,1.96,0.0,7.92
0,674353,Levante W,25,1.84,0.92,1.6588000000000003,1.4708,10.72,9.64,5.72,5.04,1.32,0.0,7.68
0,674355,Madrid CFF,25,2.12,1.84,1.8135999999999999,1.4860000000000002,13.12,11.12,7.52,5.44,1.36,0.04,7.64
0,674354,Athletic Club W,25,1.24,1.08,1.3764,1.5267999999999997,9.6,11.04,5.04,5.48,1.16,-0.04,6.72
0,674345,Sevilla W,25,1.88,1.96,1.5220000000000002,1.7312,11.08,11.92,6.12,6.96,1.88,0.0,8.36
0,674346,UD Granadilla Tenerife,25,1.32,1.6,1.3644,1.4243999999999999,9.8,10.08,4.8,5.32,1.76,0.12,9.16
0,674358,Real Sociedad W,25,1.2,1.8,1.4384000000000001,1.6588,10.96,12.68,5.32,6.56,0.96,0.12,7.52
0,674357,Valencia W,25,1.24,1.96,1.5672,1.9428,11.16,14.0,5.68,7.44,1.76,0.12,8.12
0,679986,Eibar W,25,0.72,1.6,1.1968000000000003,1.5252000000000001,9.2,11.12,3.8,5.4,1.68,-0.04,-1.0
0,679991,Granada W,25,1.08,1.84,1.3512,1.7364,9.24,12.84,4.8,6.08,1.16,-0.08,-1.0
0,674356,Real Betis W,25,1.0,2.44,1.264,1.8940000000000001,8.96,13.52,4.68,7.2,1.96,0.12,9.72
0,703696,Villarreal W,25,0.88,1.88,1.1136,1.7896000000000003,7.48,12.76,3.76,6.24,1.6,0.0,9.36
0,679990,Levante Las Planas,25,1.16,2.04,1.3903999999999999,1.7456,9.52,11.88,5.08,6.4,2.0,0.08,8.4
0,674347,Sporting de Huelva,25,0.64,2.08,1.0455999999999999,1.9336000000000002,7.4,14.04,3.48,7.52,1.48,0.04,8.04
0,-1,#LEAGUE_AVERAGE#,400,1.575,1.575,1.5604,1.5604,11.1125,11.1125,5.75,5.75,1.45,0.025,6.91
