,id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,url,club_team_id,club_team_2_id,national_team_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp
0,10572,9665,Diego Mariño Villar,Diego,Mariño Villar,Diego Mariño,diego-marino,33,187,75,La Liga,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/diego-marino,296,-1,-1,Goalkeeper,90,90,0,642236400,Spain,eu,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0.0,0.0,0.0,0,0.0,0.0,0,2.0,45,0,0,0,90,0,0,0.0,-1,-1,-1,22,1691775000
1,11752,9665,Srđan Babić,Srđan,Babić,Srđan Babić,srdan-babic,28,194,85,La Liga,Domestic League,2023/2024,2023,2024,https://footystats.org/players/serbia/srdan-babic,296,-1,-1,Defender,90,90,0,830156400,Serbia,eu,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0.0,0.0,0.0,0,0.0,0.0,0,2.0,45,0,0,0,90,0,0,0.0,-1,-1,-1,26,1691775000
2,127965,9665,Edgar González Estrada,Edgar,González Estrada,Edgar González,edgar-gonzalez,27,193,78,La Liga,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/edgar-gonzalez,296,-1,-1,Defender,2219,1097,1122,859881600,Spain,eu,27,14,13,2,0,2,4,0,4,41,19,22,0,0,0,0,0,-1,0.08,0.0,0.08,15,0.0,0.16,1110,1.66,54,7,7,1,82,317,0,0.28,186,445,169,10,1713121200
3,10976,9665,Sergio Akieme Rodríguez,Sergio,Akieme Rodríguez,Sergio Akieme,sergio-akieme,26,175,70,La Liga,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/sergio-akieme,296,-1,-1,Defender,1676,866,810,882259200,Spain,eu,19,10,9,2,1,1,3,0,3,32,16,16,0,0,0,0,0,-1,0.11,0.0,0.11,16,0.1,0.11,838,1.72,52,2,2,0,88,838,0,0.11,159,371,174,9,1706299200
4,10836,9665,Alejandro Pozo Pozo,Alejandro,Pozo Pozo,Alejandro Pozo,alejandro-pozo,25,173,70,La Liga,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/alejandro-pozo,296,-1,-1,Defender,841,388,453,919670400,Spain,eu,17,8,9,0,0,0,3,0,3,20,5,15,0,0,0,0,0,-1,0.0,0.0,0.0,18,0.0,0.0,0,2.14,42,3,3,0,49,280,0,0.32,353,277,190,33,1703095200
5,28459,9665,Lucas Robertone,Lucas,Robertone,Lucas Robertone,lucas-robertone,27,169,70,La Liga,Domestic League,2023/2024,2023,2024,https://footystats.org/players/argentina/lucas-robertone,296,-1,-1,Midfielder,2095,1205,890,858672000,Argentina,eu,29,16,13,0,0,0,4,1,5,39,25,14,5,2,3,0,0,-1,0.21,0.21,0.0,17,0.0,0.0,0,1.68,54,10,10,0,72,210,419,0.43,354,49,-1,32,1714227300
6,129662,9665,Iddrisu Baba Mohammed,Iddrisu,Baba Mohammed,Iddrisu Baba,iddrisu-baba,28,182,73,La Liga,Domestic League,2023/2024,2023,2024,https://footystats.org/players/ghana/iddrisu-baba,296,-1,-1,Midfielder,1418,577,841,822297600,Ghana,eu,24,10,14,0,0,0,2,1,3,34,13,21,0,0,0,0,0,-1,0.0,0.0,0.0,13,0.0,0.0,0,2.16,42,5,5,0,59,284,0,0.32,355,283,-1,31,1709323200
7,10938,9665,Adrián Embarba Blázquez,Adrián,Embarba Blázquez,Adrián Embarba,adrian-embarba,31,173,66,La Liga,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/adrian-embarba,296,-1,-1,Forward,2127,1194,933,705222000,Spain,eu,31,17,14,3,1,2,4,1,5,43,24,19,0,0,0,1,0,100,0.13,0.0,0.13,16,0.08,0.19,709,1.82,49,4,4,0,69,532,0,0.17,137,288,-1,4,1714227300
8,76846,9665,Luis Javier Suárez Charris,Luis Javier,Suárez Charris,Luis Suárez,luis-suarez,26,185,74,La Liga,Domestic League,2023/2024,2023,2024,https://footystats.org/players/colombia/luis-suarez,296,-1,-1,Forward,719,434,285,881049600,Colombia,eu,10,6,4,4,3,1,1,0,1,18,12,6,0,0,0,1,0,100,0.5,0.0,0.5,10,0.62,0.32,180,2.25,40,2,2,0,72,360,0,0.25,24,252,-1,3,1696161600
9,120393,9665,Largie Ramazani,Largie,Ramazani,Largie Ramazani,largie-ramazani,23,167,68,La Liga,Domestic League,2023/2024,2023,2024,https://footystats.org/players/belgium/largie-ramazani,296,-1,-1,Forward,1560,750,810,983260800,Belgium,eu,29,14,15,3,1,2,4,1,5,29,12,17,5,4,1,0,0,-1,0.46,0.29,0.17,17,0.12,0.22,520,1.67,54,11,11,2,54,142,312,0.63,108,21,-1,5,1711811700
