,id,competition_id,full_name,first_name,last_name,known_as,shorthand,age,height,weight,league,league_type,season,starting_year,ending_year,url,club_team_id,club_team_2_id,national_team_id,position,minutes_played_overall,minutes_played_home,minutes_played_away,birthday,nationality,continent,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,clean_sheets_home,clean_sheets_away,clean_sheets_overall,conceded_overall,conceded_home,conceded_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,penalty_success,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,clean_sheets_per_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,cards_overall,yellow_cards_overall,red_cards_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer,last_match_timestamp
0,10572,9665,Diego Mariño Villar,Diego,Mariño Villar,Diego Mariño,diego-marino,33,187,75,La Liga,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/diego-marino,296,-1,-1,Goalkeeper,90,90,0,642236400,Spain,eu,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0.0,0.0,0.0,0,0.0,0.0,0,2.0,45,0,0,0,90,0,0,0.0,-1,-1,-1,13,1691775000
1,11752,9665,Srđan Babić,Srđan,Babić,Srđan Babić,srdan-babic,27,194,85,La Liga,Domestic League,2023/2024,2023,2024,https://footystats.org/players/serbia/srdan-babic,296,-1,-1,Defender,90,90,0,830156400,Serbia,eu,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,-1,0.0,0.0,0.0,0,0.0,0.0,0,2.0,45,0,0,0,90,0,0,0.0,-1,-1,-1,26,1691775000
2,127965,9665,Edgar González Estrada,Edgar,González Estrada,Edgar González,edgar-gonzalez,27,193,78,La Liga,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/edgar-gonzalez,296,-1,-1,Defender,2085,1053,1032,859881600,Spain,eu,25,13,12,2,0,2,4,0,4,37,17,20,0,0,0,0,0,-1,0.09,0.0,0.09,16,0.0,0.17,1043,1.6,56,7,7,1,83,298,0,0.3,163,430,160,5,1711811700
3,10976,9665,Sergio Akieme Rodríguez,Sergio,Akieme Rodríguez,Sergio Akieme,sergio-akieme,26,175,70,La Liga,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/sergio-akieme,296,-1,-1,Defender,1676,866,810,882259200,Spain,eu,19,10,9,2,1,1,3,0,3,32,16,16,0,0,0,0,0,-1,0.11,0.0,0.11,16,0.1,0.11,838,1.72,52,2,2,0,88,838,0,0.11,153,411,171,6,1706299200
4,10836,9665,Alejandro Pozo Pozo,Alejandro,Pozo Pozo,Alejandro Pozo,alejandro-pozo,25,173,70,La Liga,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/alejandro-pozo,296,-1,-1,Defender,841,388,453,919670400,Spain,eu,17,8,9,0,0,0,3,0,3,20,5,15,0,0,0,0,0,-1,0.0,0.0,0.0,18,0.0,0.0,0,2.14,42,3,3,0,49,280,0,0.32,291,239,188,33,1703095200
5,28459,9665,Lucas Robertone,Lucas,Robertone,Lucas Robertone,lucas-robertone,27,169,70,La Liga,Domestic League,2023/2024,2023,2024,https://footystats.org/players/argentina/lucas-robertone,296,-1,-1,Midfielder,1853,1053,800,858672000,Argentina,eu,26,14,12,0,0,0,4,1,5,33,21,12,5,2,3,0,0,-1,0.24,0.24,0.0,19,0.0,0.0,0,1.6,56,9,9,0,71,206,371,0.44,289,40,-1,32,1711811700
6,129662,9665,Iddrisu Baba Mohammed,Iddrisu,Baba Mohammed,Iddrisu Baba,iddrisu-baba,28,182,73,La Liga,Domestic League,2023/2024,2023,2024,https://footystats.org/players/ghana/iddrisu-baba,296,-1,-1,Midfielder,1402,577,825,822297600,Ghana,eu,23,10,13,0,0,0,2,1,3,34,13,21,0,0,0,0,0,-1,0.0,0.0,0.0,13,0.0,0.0,0,2.18,41,5,5,0,61,280,0,0.32,288,238,-1,31,1709323200
7,10938,9665,Adrián Embarba Blázquez,Adrián,Embarba Blázquez,Adrián Embarba,adrian-embarba,31,173,66,La Liga,Domestic League,2023/2024,2023,2024,https://footystats.org/players/spain/adrian-embarba,296,-1,-1,Forward,1862,1019,843,705222000,Spain,eu,28,15,13,1,1,0,4,1,5,37,20,17,0,0,0,0,0,-1,0.05,0.0,0.05,18,0.09,0.0,1862,1.79,50,3,3,0,67,621,0,0.15,216,254,-1,11,1710688500
8,76846,9665,Luis Javier Suárez Charris,Luis Javier,Suárez Charris,Luis Suárez,luis-suarez,26,185,74,La Liga,Domestic League,2023/2024,2023,2024,https://footystats.org/players/colombia/luis-suarez,296,-1,-1,Forward,719,434,285,881049600,Colombia,eu,10,6,4,4,3,1,1,0,1,18,12,6,0,0,0,1,0,100,0.5,0.0,0.5,10,0.62,0.32,180,2.25,40,2,2,0,72,360,0,0.25,19,245,-1,3,1696161600
9,120393,9665,Largie Ramazani,Largie,Ramazani,Largie Ramazani,largie-ramazani,23,167,68,La Liga,Domestic League,2023/2024,2023,2024,https://footystats.org/players/belgium/largie-ramazani,296,-1,-1,Forward,1495,729,766,983260800,Belgium,eu,27,13,14,3,1,2,4,1,5,28,12,16,5,4,1,0,0,-1,0.48,0.3,0.18,19,0.12,0.23,498,1.69,53,8,8,1,55,187,299,0.48,91,17,-1,4,1711811700
