,id,name,gs_mins_1_15,gs_mins_16_30,gs_mins_31_45,gs_mins_45plus,gs_mins_46_60,gs_mins_61_75,gs_mins_76_90,gs_mins_90plus,gc_mins_1_15,gc_mins_16_30,gc_mins_31_45,gc_mins_45plus,gc_mins_46_60,gc_mins_61_75,gc_mins_76_90,gc_mins_90plus
0,249,Chesterfield,10,13,11,5,18,23,15,7,10,7,6,1,10,12,6,8
0,269,Barnet,13,14,10,3,11,16,9,9,9,7,4,2,11,7,15,4
0,1835,Bromley,10,6,7,3,15,14,4,7,5,5,6,0,11,10,6,3
0,1834,Solihull Moors,6,12,9,2,16,13,7,5,7,5,10,2,8,17,8,2
0,1847,Altrincham,12,8,18,4,11,9,11,8,7,7,9,2,9,13,7,5
0,1832,Gateshead,8,13,6,3,20,15,13,5,8,9,6,2,11,9,6,6
0,1823,Halifax Town,3,8,10,2,6,13,8,3,4,9,7,1,7,7,5,6
0,1836,Aldershot Town,6,8,15,3,11,10,11,6,10,10,15,0,13,11,13,5
0,232,Southend United,8,12,6,2,13,11,9,6,8,7,4,1,8,6,9,0
0,246,Oldham Athletic,7,9,11,0,5,13,11,3,6,9,7,0,8,9,9,7
0,235,Rochdale,9,11,12,3,8,9,11,3,9,8,8,4,12,14,5,2
0,262,Hartlepool United,12,8,4,3,14,10,13,1,15,9,8,3,10,13,11,9
0,1828,Maidenhead United,11,10,4,1,9,9,9,3,7,7,10,1,12,6,11,9
0,274,Dagenham & Redbridge,8,6,12,3,7,10,13,6,3,5,8,6,14,8,7,8
0,1830,Eastleigh,6,12,13,2,14,12,8,4,7,10,11,4,13,16,18,5
0,1831,Fylde,14,10,12,2,9,7,12,6,10,14,11,1,13,11,13,4
0,1826,Woking,5,5,5,2,9,6,10,4,9,13,8,0,7,4,7,5
0,1825,Ebbsfleet United,8,10,7,1,9,9,9,6,8,9,12,5,14,11,9,4
0,275,York City,7,7,8,2,3,9,9,8,7,6,6,1,13,16,16,3
0,3144,Wealdstone,9,3,9,3,10,7,4,7,8,9,11,2,11,14,9,3
0,1840,Boreham Wood,5,9,5,2,14,11,8,2,7,16,12,3,8,12,12,3
0,1846,Kidderminster Harriers,4,6,5,3,8,4,7,2,6,16,4,5,7,8,6,2
0,3203,Dorking Wanderers,8,8,7,0,5,9,8,3,11,8,14,4,6,14,11,8
0,3139,Oxford City,5,10,6,0,7,10,11,4,13,13,15,4,16,11,11,7
