,id,name,gs_mins_1_15,gs_mins_16_30,gs_mins_31_45,gs_mins_45plus,gs_mins_46_60,gs_mins_61_75,gs_mins_76_90,gs_mins_90plus,gc_mins_1_15,gc_mins_16_30,gc_mins_31_45,gc_mins_45plus,gc_mins_46_60,gc_mins_61_75,gc_mins_76_90,gc_mins_90plus
0,278,Leganés,2,8,8,0,9,9,8,3,6,2,5,1,3,2,1,1
0,280,RCD Espanyol,7,6,6,3,11,6,7,5,8,3,6,3,4,5,4,3
0,279,SD Eibar,9,4,10,1,5,13,9,4,4,4,8,1,7,6,5,5
0,297,Real Valladolid,3,9,5,0,8,6,5,4,4,4,6,1,6,4,3,3
0,309,Real Oviedo,6,2,5,2,10,5,9,5,5,4,7,1,3,2,6,1
0,319,Racing Santander,5,11,6,3,9,9,8,3,8,6,4,4,4,12,6,4
0,295,Elche CF,6,6,4,0,9,4,4,2,4,1,6,1,4,6,7,2
0,289,Sporting Gijón,5,5,10,0,7,7,4,3,1,7,4,1,5,6,6,3
0,292,Levante UD,5,5,6,6,5,7,6,1,4,4,2,3,10,9,2,4
0,4542,Racing Club de Ferrol,5,4,5,1,10,8,3,5,4,5,9,0,10,5,2,5
0,4546,Burgos CF,7,2,6,2,5,10,6,3,9,4,7,2,6,7,5,3
0,311,CD Tenerife,4,6,3,2,3,8,5,1,3,4,4,0,8,6,7,3
0,301,SD Huesca,5,4,3,0,6,6,3,2,4,0,5,1,5,3,4,1
0,4516,CD Eldense,7,2,9,2,4,7,6,4,7,9,5,2,8,8,6,4
0,299,Real Zaragoza,1,3,14,2,3,7,1,1,6,0,6,0,2,7,8,3
0,4507,FC Cartagena,4,0,7,1,4,7,6,2,4,9,8,0,4,10,2,7
0,300,Mirandés,2,7,6,0,5,7,4,7,3,7,10,1,7,8,8,4
0,302,AD Alcorcón,6,2,4,0,2,3,6,3,1,9,5,2,9,9,6,3
0,672363,FC Andorra,1,1,2,0,3,6,9,5,4,4,11,0,1,6,9,5
0,4522,SD Amorebieta,5,5,6,2,4,3,2,3,7,3,7,1,7,5,8,3
0,316,Albacete Balompié,4,4,5,1,7,9,5,4,5,8,5,2,13,8,7,2
0,4492,Villarreal II,7,5,7,0,6,4,1,2,5,4,7,1,9,17,5,3
